"country","capital","latitude","longitude","country_id"
Mexico,Mexico City,19.4273,-99.1419,132
Moldova,Chișinău,47.0056,28.8575,133
Monaco,Monaco,43.7333,7.4167,134
Mongolia,Ulan Bator,47.9077,106.8832,135
Montserrat,Plymouth,16.7918,-62.2106,136
Morocco,Rabat,34.0133,-6.8326,137
Mozambique,Maputo,-25.9653,32.5892,138
Namibia,Windhoek,-22.5594,17.0832,139
Nauru,Yaren,-0.5308,166.9112,140
Nepal,Kathmandu,27.7017,85.3206,141
Netherlands,Amsterdam,52.374,4.8897,142
New Caledonia,Nouméa,-22.2763,166.4572,143
New Zealand,Wellington,-41.2866,174.7756,144
Nicaragua,Managua,12.1328,-86.2504,145
Niger,Niamey,13.5137,2.1098,146
Nigeria,Abuja,9.0574,7.4898,147
Niue,Alofi,-19.0585,-169.9213,148
Norfolk Island,Kingston,-29.0569,167.9597,149
North Korea,Pyongyang,39.0194,125.7547,150
Northern Mariana Islands,Saipan,15.2123,145.7545,151
Norway,Oslo,59.9127,10.7461,152
Oman,Muscat,23.6139,58.5922,153
Pakistan,Islamabad,33.7035,73.0594,154
Palau,Ngerulmud,7.3426,134.4789,155
Panama,Panama City,8.9958,-79.5196,156
Papua New Guinea,Port Moresby,-9.4431,147.1797,157
Paraguay,Asunción,-25.3007,-57.6359,158
Peru,Lima,-12.0432,-77.0282,159
Philippines,Manila,14.6042,120.9822,160
Pitcairn Islands,Adamstown,-25.0667,-130.1,161
Poland,Warsaw,52.2298,21.0118,162
Portugal,Lisbon,38.7169,-9.1399,163
Puerto Rico,San Juan,18.4663,-66.1057,164
Qatar,Doha,25.2747,51.5245,165
Republic of the Congo,Brazzaville,-4.2592,15.2847,166
Romania,Bucharest,44.4328,26.1043,167
Russia,Moscow,55.7558,37.6173,168
Rwanda,Kigali,-1.9474,30.0579,169
Réunion,Saint-Denis,-20.8823,55.4504,170
Saint Helena,Jamestown,-15.9387,-5.7168,171
Saint Kitts and Nevis,Basseterre,17.2948,-62.7261,172
Saint Lucia,Castries,14.006,-60.991,173
Saint Pierre and Miquelon,Saint-Pierre,46.7738,-56.1815,174
Saint Vincent and the Grenadines,Kingstown,13.1587,-61.2248,175
Samoa,Apia,-13.8333,-171.7667,176
San Marino,City of San Marino,43.9333,12.45,177
Saudi Arabia,Riyadh,24.6905,46.7096,178
Senegal,Dakar,14.6937,-17.4441,179
Serbia,Belgrade,44.8176,20.4633,180
Seychelles,Victoria,-4.6167,55.45,181
Sierra Leone,Freetown,8.484,-13.2299,182
Singapore,Singapore,1.2897,103.8501,183
Slovakia,Bratislava,48.1482,17.1067,184
Slovenia,Ljubljana,46.0511,14.5051,185
Solomon Islands,Honiara,-9.4333,159.95,186
Somalia,Mogadishu,2.0416,45.3435,187
South Africa,Pretoria,-33.9258,18.4232,188
South Georgia,King Edward Point,-54.2833,-36.5,189
South Korea,Seoul,37.5665,126.978,190
South Sudan,Juba,4.8517,31.5825,191
Spain,Madrid,40.4165,-3.7026,192
Sri Lanka,Colombo,6.9319,79.8478,193
Sudan,Khartoum,15.5518,32.5324,194
Suriname,Paramaribo,5.8664,-55.1668,195
Svalbard and Jan Mayen,Longyearbyen,78.2333,15.6333,196
Swaziland,Lobamba,-26.3167,31.1333,197
Sweden,Stockholm,59.3326,18.0649,198
Switzerland,Bern,46.9481,7.4474,199
Syria,Damascus,33.5,36.3,200
São Tomé and Príncipe,São Tomé,0.3333,6.7333,201
Taiwan,Taipei,25.033,121.5654,202
Tajikistan,Dushanbe,38.5358,68.7791,203
Tanzania,Dodoma,-6.8,39.2833,204
Thailand,Bangkok,13.722,100.5252,205
The Bahamas,Nassau,25.0833,-77.35,206
The Gambia,Banjul,13.4531,-16.5775,207
Togo,Lomé,6.1375,1.2123,208
Tokelau,Fakaofo,-9.38,-171.25,209
Tonga,Nuku'alofa,-21.1394,-175.2032,210
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,211
Tunisia,Tunis,36.819,10.1658,212
Turkey,Ankara,39.9199,32.8543,213
Turkmenistan,Ashgabat,37.95,58.3833,214
Tuvalu,Funafuti,-8.5189,179.1991,215
Uganda,Kampala,0.3163,32.5822,216
Ukraine,Kiev,50.4454,30.5186,217
United Arab Emirates,Abu Dhabi,24.4648,54.3618,218
United Kingdom,London,51.5085,-0.1257,219
United States,Washington D.C.,38.8951,-77.0364,220
Uruguay,Montevideo,-34.8335,-56.1674,221
Uzbekistan,Tashkent,41.2647,69.2163,222
Vanuatu,Port Vila,-17.7338,168.3219,223
Venezuela,Caracas,10.4806,-66.9036,224
Vietnam,Hanoi,21.0285,105.8542,225
Wallis and Futuna,Mata-Utu,-13.2833,-176.1667,226
Western Sahara,El Aaiún,27.1532,-13.2014,227
Yemen,Sana'a,15.3531,44.2078,228
Zambia,Lusaka,-15.4134,28.2771,229
Zimbabwe,Harare,-17.8294,31.0539,230
